"data_rif","age","profession","region","account_balance","num_trx_cd","num_trx_cc","num_trx_cp","num_mov_conto","sum_mov_conto_pos","sum_mov_conto_neg","num_prodotti","TARGET"
"2022-07-31",23,"Lavoratore autonomo","TOSCANA",65627.79926901968,0,0,0,10,3590,-370,2,"0"
"2022-07-31",55,"Lavoratore dipendente","BASILICATA",39335.109962700866,7,0,0,0,0,0,5,"1"
"2022-07-31",23,"Lavoratore autonomo","PUGLIA",-37466.82892574165,148,0,0,2,636,-294,10,"0"
"2022-07-31",43,"Studente","VALLE AOSTA",13864.88019718925,215,0,0,8,1064,-1640,3,"1"
"2022-07-31",26,"Studente","LOMBARDIA",-32625.910843159538,38,56,6,0,0,0,1,"0"
"2022-07-31",34,"Lavoratore autonomo","EMILIA-ROMAGNA",-36947.82106709922,0,9,0,29,12586,-13195,1,"0"
"2022-07-31",48,"Non occupato","BASILICATA",51988.26808414832,61,67,0,20,3900,-8840,2,"0"
"2022-07-31",21,"Non occupato","LAZIO",-206588.6132790899,69,0,31,6,900,-816,2,"0"
"2022-07-31",53,"Studente","FRIULI-VENEZIA GIULIA",-208166.7133418946,0,26,34,0,0,0,1,"0"
"2022-07-31",21,"Lavoratore dipendente","MARCHE",-86521.62431691747,0,38,0,30,13650,-8220,7,"1"
"2022-07-31",23,"Lavoratore autonomo","SARDEGNA",-44064.72051770972,0,26,77,17,3043,-1462,2,"0"
"2022-07-31",23,"Studente","VALLE AOSTA",118505.5827813202,0,0,6,2,678,-166,7,"0"
"2022-07-31",45,"Imprenditore","SARDEGNA",90569.5756931092,0,0,5,9,3105,-990,3,"1"
"2022-07-31",45,"Studente","EMILIA-ROMAGNA",-176224.40308668936,0,27,112,0,0,0,2,"1"
"2022-07-31",57,"Lavoratore autonomo","SARDEGNA",8936.779587018525,48,0,0,0,0,0,3,"1"
"2022-07-31",25,"Studente","SARDEGNA",91353.48974921968,93,1,79,27,12717,-9558,8,"0"
"2022-07-31",43,"Lavoratore autonomo","SARDEGNA",9161.610639264369,0,0,46,0,0,0,5,"1"
"2022-07-31",21,"Imprenditore","LAZIO",63177.77233015443,216,0,0,0,0,0,1,"0"
"2022-07-31",23,"Imprenditore","SARDEGNA",-167710.71677410803,107,0,0,0,0,0,2,"0"
